nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x ,Relbow_y,Rwrist_x,RWrist_y ,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y ,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y ,REye_x,REye_y,LEye_x,LEye_y ,REar_x,REar_y,LEar_x,Lear_y,class
0.55,0.46,0.54,0.52,0.51,0.52,0.52,0.57,0.54,0.5,0.56,0.52,0.57,0.59,0.59,0.65,0.52,0.67,0.52,0.81,0.52,0.89,0.56,0.67,0.57,0.81,0.57,0.91,0.54,0.46,0,0,0.52,0.46,0.55,0.46,0
0.54,0.46,0.54,0.52,0.51,0.52,0.49,0.61,0.5,0.65,0.57,0.52,0.57,0.61,0.57,0.67,0.52,0.67,0.52,0.78,0.52,0.89,0.56,0.67,0.57,0.81,0.57,0.91,0.54,0.46,0.55,0.46,0.52,0.46,0.56,0.46,0
0.54,0.46,0.54,0.52,0.51,0.52,0.49,0.59,0.5,0.65,0.57,0.52,0.59,0.61,0.59,0.67,0.52,0.67,0.52,0.81,0.52,0.89,0.56,0.67,0.57,0.81,0.57,0.91,0.54,0.46,0.55,0.46,0.52,0.46,0.56,0.46,0
0.54,0.46,0.54,0.52,0.51,0.52,0.49,0.59,0.5,0.65,0.57,0.52,0.59,0.59,0.59,0.67,0.52,0.67,0.52,0.78,0.52,0.91,0.56,0.67,0.57,0.81,0.57,0.91,0.54,0.44,0.55,0.44,0.52,0.46,0.55,0.46,0
0.54,0.46,0.54,0.52,0.51,0.52,0.5,0.59,0.51,0.65,0.57,0.52,0.59,0.59,0.59,0.65,0.52,0.67,0.52,0.81,0.52,0.89,0.56,0.67,0.57,0.81,0.57,0.91,0.54,0.44,0.55,0.44,0.52,0.46,0.55,0.46,0
0.54,0.46,0.54,0.52,0.51,0.52,0.5,0.59,0.51,0.65,0.57,0.52,0.59,0.59,0.59,0.65,0.52,0.67,0.52,0.81,0.52,0.89,0.56,0.67,0.57,0.81,0.57,0.91,0.54,0.44,0.55,0.44,0.52,0.46,0.55,0.46,0
0.54,0.46,0.54,0.52,0.51,0.52,0.5,0.61,0.51,0.65,0.57,0.52,0.57,0.59,0.57,0.65,0.52,0.67,0.52,0.81,0.52,0.89,0.56,0.67,0.57,0.81,0.57,0.91,0.54,0.46,0.55,0.46,0.52,0.46,0.55,0.46,0
0.54,0.46,0.54,0.52,0.51,0.52,0.5,0.61,0.51,0.65,0.57,0.52,0.57,0.59,0.57,0.65,0.52,0.67,0.52,0.81,0.52,0.89,0.56,0.67,0.57,0.81,0.57,0.91,0.54,0.46,0.55,0.46,0.52,0.46,0.56,0.46,0
0.54,0.46,0.54,0.52,0.51,0.52,0.5,0.61,0.51,0.65,0.57,0.52,0.57,0.59,0.57,0.67,0.52,0.67,0.52,0.81,0.52,0.89,0.56,0.67,0.57,0.81,0.57,0.91,0.54,0.46,0.55,0.46,0.52,0.46,0.56,0.46,0
0.54,0.46,0.54,0.52,0.51,0.52,0.5,0.61,0.51,0.65,0.57,0.52,0.57,0.59,0.59,0.65,0.52,0.67,0.52,0.81,0.52,0.89,0.56,0.67,0.57,0.81,0.57,0.91,0.54,0.46,0.55,0.46,0.52,0.46,0.56,0.46,0
